ID,Date,Element,Data_Value
UPM00033961,2006-03-13,TMIN,10
UPM00033962,2007-01-16,TMAX,89
UPM00033962,2005-04-13,TMIN,73
UPM00033966,2005-02-23,TMAX,130
UPM00033961,2006-01-03,TMAX,26
UPM00033961,2005-05-06,TMAX,151
UPM00033961,2005-09-07,TMAX,259
UPM00033966,2007-07-12,TMAX,342
UPM00033966,2005-10-20,TMIN,59
UPM00033961,2006-06-06,TMIN,158
UPM00033962,2007-03-20,TMIN,50
UPM00033961,2005-03-04,TMAX,-1
UPM00033966,2006-10-15,TMAX,151
UPM00033966,2007-06-03,TMAX,283
UPM00033966,2007-11-22,TMIN,-48
UPM00033966,2005-02-23,TMIN,18
UPM00033966,2009-01-22,TMAX,111
UPM00033966,2008-02-06,TMIN,-36
UPM00033961,2005-06-24,TMIN,177
UPM00033962,2008-01-08,TMIN,-101
UPM00033961,2006-03-13,TMAX,33
UPM00033962,2005-11-13,TMIN,65
UPM00033962,2007-03-07,TMIN,19
UPM00033962,2006-06-23,TMIN,180
UPM00033961,2007-02-20,TMAX,106
UPM00033961,2008-05-22,TMIN,182
UPM00033961,2006-06-06,TMAX,266
UPM00033966,2007-02-02,TMIN,23
UPM00033962,2007-02-08,TMIN,-4
UPM00033966,2007-07-12,TMIN,147
UPM00033962,2009-03-13,TMIN,-17
UPM00033966,2005-01-05,TMAX,38
UPM00033962,2006-09-07,TMIN,147
UPM00033966,2007-02-10,TMIN,74
UPM00033961,2005-08-17,TMIN,257
UPM00033966,2005-07-19,TMIN,155
UPM00033961,2007-11-10,TMAX,114
UPM00033966,2006-09-17,TMAX,205
UPM00033962,2007-05-26,TMIN,152
UPM00033961,2006-01-13,TMIN,-70
UPM00033961,2008-08-20,TMIN,221
UPM00033962,2008-03-06,TMIN,28
UPM00033961,2005-12-02,TMAX,109
UPM00033962,2005-10-03,TMIN,150
UPM00033961,2006-12-26,TMIN,-54
UPM00033961,2006-03-22,TMAX,128
UPM00033962,2008-04-01,TMIN,69
UPM00033966,2009-04-17,TMIN,62
UPM00033961,2007-02-20,TMIN,-5
UPM00033966,2008-03-07,TMIN,-39
UPM00033961,2006-01-17,TMAX,-7
UPM00033962,2006-09-06,TMIN,120
UPM00033966,2005-01-19,TMAX,40
UPM00033961,2005-07-13,TMAX,255
UPM00033966,2006-08-01,TMIN,146
UPM00033961,2005-10-26,TMIN,51
UPM00033966,2006-08-08,TMIN,210
UPM00033966,2005-03-20,TMIN,-89
UPM00033966,2006-02-06,TMAX,-102
UPM00033966,2006-06-13,TMAX,218
UPM00033961,2008-06-05,TMIN,110
UPM00033961,2005-11-18,TMIN,89
UPM00033966,2005-06-20,TMIN,155
UPM00033966,2007-11-18,TMAX,58
UPM00033962,2005-10-03,TMAX,222
UPM00033962,2005-08-13,TMIN,135
UPM00033966,2006-02-06,TMIN,-112
UPM00033962,2006-06-23,TMAX,266
UPM00033966,2008-04-11,TMIN,38
UPM00033966,2006-10-25,TMAX,195
UPM00033962,2005-11-24,TMIN,-52
UPM00033962,2008-09-13,TMAX,219
UPM00033966,2008-02-07,TMIN,-63
UPM00033962,2009-04-02,TMAX,154
UPM00033966,2006-06-15,TMAX,218
UPM00033961,2005-06-14,TMAX,277
UPM00033962,2006-07-26,TMAX,319
UPM00033966,2006-08-21,TMIN,153
UPM00033966,2006-05-05,TMIN,12
UPM00033962,2005-01-13,TMIN,-51
UPM00033962,2005-10-20,TMAX,91
UPM00033962,2006-04-04,TMIN,-12
UPM00033962,2008-02-27,TMIN,-48
UPM00033966,2008-02-22,TMAX,113
UPM00033966,2008-03-27,TMIN,4
UPM00033966,2006-04-12,TMAX,216
UPM00033962,2007-05-16,TMIN,72
UPM00033962,2005-08-13,TMAX,309
UPM00033961,2006-05-02,TMAX,132
UPM00033962,2008-12-04,TMIN,79
UPM00033966,2007-05-21,TMAX,296
UPM00033966,2008-03-05,TMIN,38
UPM00033966,2005-12-02,TMAX,124
UPM00033961,2005-07-13,TMIN,216
UPM00033966,2005-01-05,TMIN,-9
UPM00033961,2007-01-22,TMAX,110
UPM00033962,2007-02-02,TMAX,32
UPM00033966,2006-02-16,TMIN,-145
UPM00033961,2006-09-04,TMIN,155
UPM00033966,2005-06-20,TMAX,214
UPM00033961,2009-03-17,TMIN,25
UPM00033962,2008-03-24,TMAX,244
UPM00033966,2006-08-01,TMAX,289
UPM00033962,2007-05-16,TMAX,264
UPM00033966,2008-03-05,TMAX,98
UPM00033966,2008-02-13,TMIN,-53
UPM00033962,2006-05-05,TMAX,123
UPM00033961,2006-09-26,TMIN,172
UPM00033961,2005-11-29,TMIN,68
UPM00033961,2008-09-08,TMAX,269
UPM00033966,2007-02-02,TMAX,28
UPM00033966,2008-05-07,TMIN,38
UPM00033961,2008-08-08,TMAX,254
UPM00033962,2005-10-20,TMIN,75
UPM00033966,2006-09-14,TMIN,67
UPM00033966,2008-04-17,TMAX,155
UPM00033966,2006-04-12,TMIN,44
UPM00033961,2007-11-13,TMIN,20
UPM00033961,2007-11-16,TMIN,90
UPM00033961,2007-10-12,TMIN,93
UPM00033962,2006-05-03,TMIN,79
UPM00033962,2006-03-22,TMAX,189
UPM00033966,2005-03-22,TMIN,-37
UPM00033962,2007-04-26,TMIN,-18
UPM00033961,2006-07-17,TMIN,169
UPM00033966,2008-02-22,TMIN,-35
